Comment,Description,Designator,Footprint,LibRef,Quantity
,,,,,
ANT,SMA天线座,ANT1,SMA_FR,ANT,1
100nF,,"C1, C3, C5, C8, C10, C15, C16, C18, C20, C22, C23, C26",0603CC,cap,12
470uF/35V,,"C2, C21",C3216,Ecap,2
33P,,"C4, C6, C7",0603CC,cap,3
10uF,,"C9, C17",0603CC,cap,2
22p,,"C11, C12, C13, C14",0603CC,cap,4
470uF/35V,,C19,CD A(3216),Ecap,1
1uF,,C25,0603CC,cap,1
10nF,,C27,0603CC,cap,1
LED,,"D1, D2, D3, D4, D5",LED 0603G,LED,5
LED,,"D6, D7, D8",LED 3MM-G,LED,3
1N4148,高速开关二极管,D9,MINI_MELF (LL34),1N4148,1
1N4148,,D10,DIODE_SOP,D,1
SS34,,D11,SMA,Diod,1
HDR-1X8,8P接插件,JP1,HDR2.54-M-LI-8P,Header 8,1
HDR-1X5,5P接插件,JP2,HDR2.54-LI-5P,Header 5,1
Header2X2,2*2P接插件,JP3,HDR2.54-LI-2x2P,Header 2X2,1
DC5V,蜂鸣器,LS1,BEEP 5x9x5.5,BEEP,1
SS8050,高频放大-NPN型,"Q1, Q3, Q5, Q6",SOT23-3N,8050-SMD,4
AO3401,P沟道场效应管,"Q2, Q4",SOT23-3N,SI2301,2
1K,,"R1, R13, R14, R21, R32",0603RR,res,5
10K,,"R2, R9, R10, R11, R15, R17, R18, R20, R23, R29, R33, R34",0603RR,res,12
10R,,"R3, R4, R6, R7, R8, R16, R35",0603RR,res,7
0R,,R5,0603RR,res,1
470R,,"R12, R19, R22, R24",0603RR,res,4
200R,,"R25, R26, R27, R28, R30, R31",0603RR,res,6
220,,"R36, R37",0603RR,res,2
470,,RP1,4x0603,Resistor_Pack,1
SW-PB,Switch,S1,TSW SMD-6*6*6,SW-PB,1
SW-PB,Switch,S2,TSW SMD-4*4*1.5,SW-PB,1
XG-BM02X,,U1,XG-BM02X,XG-BM02X,1
NBXX-01,,U2,X_LSD4NBN-LB05000001,NB,1
USIM_6P,,U3,SIM 6P 自弹,USIM-6P,1
STM32F103C8,,U4,LQFP48 7X7_M,STM32F103C8,1
CH340C,,U5,SOP16_L,CH340C,1
AMS1117-3.3,,U6,SOT223_N,AMS1117,1
AMS1117-5.0V,,U7,SOT223_N,AMS1117,1
USB-5P,微型USB母座,USB1,USB-MICRO_A,USB-5P,1
18650*2,,V1,18650*2,18650-2P,1
8M,4脚无源晶振,X1,OSC 3225-4P,XTAL-4P,1
32.768K,2脚无源脚晶振,X2,OSC 3215-2P,XTAL-2P,1
,,,,,
,,,,,
